Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763837691,964692,66718,0,1
2,Payment,1763837691,966923,74803,4,1
2,Payment,1763837691,968794,82498,1,1
1,NewOrder,1763837691,974619,99468,2,1
1,NewOrder,1763837691,984880,103423,3,1
2,Payment,1763837691,985989,121891,5,1
1,NewOrder,1763837691,992488,103903,8,1
1,NewOrder,1763837692,003039,95142,7,1
2,Payment,1763837692,014785,103358,6,1
1,NewOrder,1763837692,022963,67716,9,1
1,NewOrder,1763837692,031468,61552,0,1
2,Payment,1763837692,041786,84703,4,1
5,StockLevel,1763837692,051364,6276,1,1
1,NewOrder,1763837692,057698,99287,1,1
2,Payment,1763837692,074136,98180,2,1
2,Payment,1763837692,088361,98517,3,1
2,Payment,1763837692,090733,105692,9,1
1,NewOrder,1763837692,093067,61393,0,1
1,NewOrder,1763837692,096449,54629,8,1
2,Payment,1763837692,098230,109574,7,1
1,NewOrder,1763837692,108003,53390,5,1
2,Payment,1763837692,118203,104586,6,1
2,Payment,1763837692,126547,104506,4,1
1,NewOrder,1763837692,151172,110494,8,1
4,Delivery,1763837692,154531,11594,0,1
2,Payment,1763837692,157057,113950,1,1
1,NewOrder,1763837692,161456,96247,5,1
2,Payment,1763837692,166198,115560,0,1
2,Payment,1763837692,172375,118728,2,1
3,OrderStatus,1763837692,186972,4563,3,1
2,Payment,1763837692,191609,108175,3,1
2,Payment,1763837692,196486,112748,9,1
2,Payment,1763837692,207963,112654,7,1
1,NewOrder,1763837692,222854,36815,6,1
1,NewOrder,1763837692,231114,114133,4,1
2,Payment,1763837692,257758,103309,5,1
2,Payment,1763837692,259738,109508,6,1
2,Payment,1763837692,261712,115026,8,1
1,NewOrder,1763837692,271092,79899,1,1
2,Payment,1763837692,281812,104774,0,1
1,NewOrder,1763837692,291162,56273,2,1
2,Payment,1763837692,299842,95024,3,1
1,NewOrder,1763837692,309297,38163,9,1
1,NewOrder,1763837692,320672,121911,7,1
1,NewOrder,1763837692,345302,94007,4,1
2,Payment,1763837692,347486,103275,2,1
2,Payment,1763837692,347510,112141,9,1
1,NewOrder,1763837692,351057,66311,1,1
2,Payment,1763837692,361149,109460,5,1
1,NewOrder,1763837692,369302,62685,6,1
2,Payment,1763837692,376801,101848,8,1
1,NewOrder,1763837692,386646,47152,0,1
1,NewOrder,1763837692,394976,139211,3,1
2,Payment,1763837692,417445,125934,1,1
1,NewOrder,1763837692,432045,96296,6,1
2,Payment,1763837692,433872,118633,0,1
1,NewOrder,1763837692,439364,81239,4,1
1,NewOrder,1763837692,442637,89074,7,1
1,NewOrder,1763837692,450826,83347,2,1
1,NewOrder,1763837692,459735,53669,9,1
2,Payment,1763837692,470675,88114,5,1
1,NewOrder,1763837692,478715,107365,8,1
1,NewOrder,1763837692,513460,76246,9,1
2,Payment,1763837692,520682,96929,4,1
3,OrderStatus,1763837692,528434,4166,6,1
1,NewOrder,1763837692,531773,76157,7,1
1,NewOrder,1763837692,532678,71188,6,1
4,Delivery,1763837692,534255,21011,2,1
2,Payment,1763837692,534255,95440,3,1
1,NewOrder,1763837692,543437,40015,1,1
1,NewOrder,1763837692,552553,49350,0,1
2,Payment,1763837692,555311,84271,2,1
2,Payment,1763837692,558846,91718,5,1
2,Payment,1763837692,583507,77750,1,1
1,NewOrder,1763837692,586180,95353,8,1
2,Payment,1763837692,589756,111423,9,1
2,Payment,1763837692,601964,108385,0,1
2,Payment,1763837692,603945,116814,6,1
2,Payment,1763837692,608044,123109,7,1
2,Payment,1763837692,617796,122555,4,1
2,Payment,1763837692,629756,122941,3,1
1,NewOrder,1763837692,639633,48084,2,1
1,NewOrder,1763837692,650677,42620,5,1
2,Payment,1763837692,661304,105241,1,1
2,Payment,1763837692,681580,95662,8,1
2,Payment,1763837692,687769,98854,2,1
1,NewOrder,1763837692,693346,136329,5,1
2,Payment,1763837692,701224,148043,9,1
1,NewOrder,1763837692,710492,114648,0,1
4,Delivery,1763837692,720875,50941,6,1
2,Payment,1763837692,731186,128382,7,1
1,NewOrder,1763837692,740387,86765,4,1
1,NewOrder,1763837692,752734,85318,3,1
1,NewOrder,1763837692,766585,60990,1,1
1,NewOrder,1763837692,771869,50798,6,1
1,NewOrder,1763837692,777283,34767,8,1
2,Payment,1763837692,786660,84198,2,1
2,Payment,1763837692,812087,69051,8,1
2,Payment,1763837692,822702,69902,6,1
2,Payment,1763837692,825181,78616,0,1
2,Payment,1763837692,827188,86748,4,1
1,NewOrder,1763837692,827599,123337,1,1
1,NewOrder,1763837692,829731,107824,5,1
1,NewOrder,1763837692,838108,101104,3,1
1,NewOrder,1763837692,849307,105606,9,1
2,Payment,1763837692,859609,103814,7,1
2,Payment,1763837692,871012,100496,2,1
2,Payment,1763837692,881187,99533,8,1
1,NewOrder,1763837692,892643,52521,6,1
1,NewOrder,1763837692,903855,43877,0,1
3,OrderStatus,1763837692,913981,4650,4,1
4,Delivery,1763837692,918665,37839,4,1
1,NewOrder,1763837692,937581,83077,5,1
2,Payment,1763837692,939248,94283,3,1
2,Payment,1763837692,945204,103132,6,1
2,Payment,1763837692,947761,110753,0,1
1,NewOrder,1763837692,950982,70734,1,1
1,NewOrder,1763837692,954952,57811,9,1
1,NewOrder,1763837692,956538,60546,4,1
1,NewOrder,1763837692,963527,52432,7,1
2,Payment,1763837692,971537,96166,2,1
2,Payment,1763837692,980762,97881,8,1
4,Delivery,1763837693,012801,86219,9,1
2,Payment,1763837693,015993,74567,7,1
1,NewOrder,1763837693,017119,105253,4,1
1,NewOrder,1763837693,020695,107683,5,1
2,Payment,1763837693,021748,116727,1,1
5,StockLevel,1763837693,033572,4644,3,1
2,Payment,1763837693,038255,112341,3,1
2,Payment,1763837693,048365,112011,6,1
1,NewOrder,1763837693,058546,65999,0,1
2,Payment,1763837693,067736,102992,2,1
2,Payment,1763837693,078681,101869,8,1
1,NewOrder,1763837693,090619,167128,7,1
2,Payment,1763837693,099086,171160,9,1
2,Payment,1763837693,122407,158693,4,1
2,Payment,1763837693,124585,175266,0,1
1,NewOrder,1763837693,128413,111195,5,1
2,Payment,1763837693,138521,171723,1,1
1,NewOrder,1763837693,150630,89239,3,1
1,NewOrder,1763837693,160420,60078,6,1
1,NewOrder,1763837693,170766,66351,2,1
1,NewOrder,1763837693,180589,183677,8,1
1,NewOrder,1763837693,220557,136807,6,1
1,NewOrder,1763837693,237154,137132,2,1
1,NewOrder,1763837693,239939,134348,5,1
1,NewOrder,1763837693,240164,128113,3,1
2,Payment,1763837693,257786,131292,7,1
2,Payment,1763837693,270286,132232,9,1
3,OrderStatus,1763837693,281145,7225,4,1
1,NewOrder,1763837693,288408,84528,4,1
2,Payment,1763837693,300118,119450,0,1
1,NewOrder,1763837693,311048,157202,1,1
2,Payment,1763837693,357408,139584,6,1
4,Delivery,1763837693,364306,83735,8,1
1,NewOrder,1763837693,368311,115688,3,1
1,NewOrder,1763837693,373027,97066,4,1
2,Payment,1763837693,374319,135886,2,1
1,NewOrder,1763837693,374319,113214,5,1
2,Payment,1763837693,389138,131396,7,1
2,Payment,1763837693,402556,126101,9,1
2,Payment,1763837693,419603,119961,0,1
5,StockLevel,1763837693,448082,4730,8,1
2,Payment,1763837693,452841,99032,8,1
1,NewOrder,1763837693,468295,134220,1,1
2,Payment,1763837693,470137,92537,4,1
1,NewOrder,1763837693,484035,122830,3,1
3,OrderStatus,1763837693,487580,3910,5,1
2,Payment,1763837693,491523,131750,5,1
1,NewOrder,1763837693,497036,93467,6,1
1,NewOrder,1763837693,510246,104347,2,1
4,Delivery,1763837693,520582,56008,7,1
1,NewOrder,1763837693,528694,63773,9,1
1,NewOrder,1763837693,539600,64902,0,1
2,Payment,1763837693,552140,82325,8,1
5,StockLevel,1763837693,562706,6962,4,1
1,NewOrder,1763837693,569704,119456,4,1
1,NewOrder,1763837693,576622,107592,7,1
1,NewOrder,1763837693,590552,91239,6,1
2,Payment,1763837693,592512,108185,9,1
2,Payment,1763837693,602579,108867,1,1
4,Delivery,1763837693,604549,8875,0,1
1,NewOrder,1763837693,606924,80570,3,1
1,NewOrder,1763837693,613458,63942,0,1
1,NewOrder,1763837693,614632,64832,2,1
1,NewOrder,1763837693,623304,36098,5,1
5,StockLevel,1763837693,634499,9173,8,1
2,Payment,1763837693,643713,80424,8,1
4,Delivery,1763837693,659443,48345,5,1
1,NewOrder,1763837693,677432,101424,0,1
1,NewOrder,1763837693,679490,92108,2,1
2,Payment,1763837693,681832,126498,6,1
1,NewOrder,1763837693,684253,106287,7,1
1,NewOrder,1763837693,687532,106426,3,1
1,NewOrder,1763837693,689199,92026,4,1
1,NewOrder,1763837693,700722,85279,9,1
2,Payment,1763837693,707815,115293,5,1
2,Payment,1763837693,711475,119434,1,1
2,Payment,1763837693,724214,116591,8,1
2,Payment,1763837693,771637,82472,2,1
1,NewOrder,1763837693,778908,121178,0,1
2,Payment,1763837693,781261,144762,4,1
1,NewOrder,1763837693,786043,116457,9,1
5,StockLevel,1763837693,790573,5944,7,1
