Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763850171,474596,557488,47,1
2,Payment,1763850171,484101,1157357,15,1
2,Payment,1763850171,509030,2039972,7,1
1,NewOrder,1763850171,513467,189509,49,1
1,NewOrder,1763850171,533569,73876,3,1
2,Payment,1763850171,557734,1073517,27,1
2,Payment,1763850171,586150,824449,11,1
1,NewOrder,1763850171,586560,414804,29,1
1,NewOrder,1763850171,601352,1621566,9,1
2,Payment,1763850171,602006,192187,2,1
1,NewOrder,1763850171,607490,328834,3,1
1,NewOrder,1763850171,636645,395393,0,1
1,NewOrder,1763850171,664963,271370,1,1
1,NewOrder,1763850171,665052,525326,25,1
4,Delivery,1763850171,665052,336262,23,1
1,NewOrder,1763850171,676699,871727,32,1
1,NewOrder,1763850171,703020,233319,4,1
5,StockLevel,1763850171,703025,905004,13,1
2,Payment,1763850171,703025,707728,49,1
2,Payment,1763850171,715959,849031,37,1
1,NewOrder,1763850171,722374,590515,33,1
4,Delivery,1763850171,750051,833222,14,1
2,Payment,1763850171,761016,1918862,6,1
2,Payment,1763850171,775218,909280,19,1
2,Payment,1763850171,794242,396174,2,1
2,Payment,1763850171,808034,739573,10,1
2,Payment,1763850171,808039,844162,39,1
2,Payment,1763850171,818922,891686,28,1
2,Payment,1763850171,819953,774579,30,1
3,OrderStatus,1763850171,821827,78518,48,1
1,NewOrder,1763850171,835131,196818,31,1
1,NewOrder,1763850171,840812,1360137,21,1
2,Payment,1763850171,880764,865382,16,1
1,NewOrder,1763850171,893332,1426640,34,1
4,Delivery,1763850171,899774,672754,5,1
2,Payment,1763850171,900374,647270,48,1
2,Payment,1763850171,906903,1467601,22,1
1,NewOrder,1763850171,936375,661523,4,1
1,NewOrder,1763850171,936377,474357,1,1
2,Payment,1763850171,936383,1511369,44,1
2,Payment,1763850171,936403,661304,45,1
1,NewOrder,1763850171,936417,666833,3,1
3,OrderStatus,1763850171,947815,397264,35,1
1,NewOrder,1763850172,001353,1299141,23,1
4,Delivery,1763850172,001400,703201,12,1
1,NewOrder,1763850172,001400,1489884,29,1
4,Delivery,1763850172,002606,707971,46,1
2,Payment,1763850172,031990,1342563,31,1
2,Payment,1763850172,032074,663455,0,1
2,Payment,1763850172,032112,612056,47,1
2,Payment,1763850172,110968,856274,17,1
1,NewOrder,1763850172,111144,1292962,26,1
4,Delivery,1763850172,139477,588134,36,1
1,NewOrder,1763850172,190427,1135933,25,1
2,Payment,1763850172,190458,576987,2,1
1,NewOrder,1763850172,312802,1013961,43,1
3,OrderStatus,1763850172,312847,263592,38,1
2,Payment,1763850172,312853,1177579,20,1
2,Payment,1763850172,312932,1154968,33,1
2,Payment,1763850172,345118,348910,35,1
1,NewOrder,1763850172,410642,864945,11,1
2,Payment,1763850172,410770,800816,1,1
4,Delivery,1763850172,410781,1286184,49,1
1,NewOrder,1763850172,544433,1212725,24,1
2,Payment,1763850172,547671,828043,10,1
1,NewOrder,1763850172,547715,826929,48,1
1,NewOrder,1763850172,548454,695834,32,1
2,Payment,1763850172,565035,210916,37,1
1,NewOrder,1763850172,572557,1237042,5,1
1,NewOrder,1763850172,576505,884681,38,1
2,Payment,1763850172,583317,884832,14,1
2,Payment,1763850172,594566,969557,30,1
2,Payment,1763850172,597757,618920,18,1
4,Delivery,1763850172,597827,1160027,45,1
2,Payment,1763850172,597920,742942,4,1
2,Payment,1763850172,603283,887701,3,1
3,OrderStatus,1763850172,608066,34780,13,1
2,Payment,1763850172,628076,886765,42,1
2,Payment,1763850172,631286,915890,27,1
1,NewOrder,1763850172,641505,792638,15,1
2,Payment,1763850172,642909,906114,13,1
3,OrderStatus,1763850172,644203,42927,47,1
1,NewOrder,1763850172,652241,766665,39,1
1,NewOrder,1763850172,684541,832567,19,1
1,NewOrder,1763850172,687173,670913,47,1
2,Payment,1763850172,694082,834742,35,1
5,StockLevel,1763850172,695568,895190,0,1
2,Payment,1763850172,704686,1002234,12,1
1,NewOrder,1763850172,710620,721543,46,1
